"job_schedule_type","job_count","avg_yearly_salary","avg_hourly_salary"
"Full-time","1","169805.500000000000",NULL
"Full-time","1","169686.000000000000",NULL
"Full-time","1","169575.000000000000",NULL
"Full-time","5","169500.000000000000",NULL
"Full-time","1","169413.000000000000",NULL
"Full-time","1","169347.500000000000",NULL
"Full-time","1","169339.000000000000",NULL
"Full-time","1","169322.000000000000",NULL
"Full-time","6","169311.000000000000",NULL
"Contractor","1","169000.000000000000",NULL
"Full-time","4","169000.000000000000",NULL
"Full-time","1","168960.000000000000",NULL
"Full-time","7","168500.000000000000",NULL
"Full-time","1","168274.500000000000",NULL
"Full-time","1","168018.500000000000",NULL
"Full-time","7","168000.000000000000",NULL
"Full-time","1","167760.000000000000",NULL
"Full-time","5","167755.000000000000",NULL
"Full-time","1","167640.000000000000",NULL
"Full-time","1","167530.000000000000",NULL
"Full-time","2","167508.000000000000",NULL
"Full-time","34","167500.000000000000",NULL
"Full-time","1","167409.000000000000",NULL
"Full-time","2","167375.000000000000",NULL
"Full-time","1","167356.500000000000",NULL
"Full-time","1","167237.500000000000",NULL
"Full-time","1","167186.500000000000",NULL
"Full-time","7","167000.000000000000",NULL
"Full-time","5","166941.500000000000",NULL
"Full-time","2","166848.000000000000",NULL
"Full-time","4","166677.000000000000",NULL
"Full-time","1","166600.000000000000",NULL
"Full-time","11","166500.000000000000",NULL
"Full-time","20","166419.500000000000",NULL
"Full-time","1","166102.000000000000",NULL
"Full-time","1","166100.000000000000",NULL
"Full-time","3","166075.000000000000",NULL
"Full-time","1","166003.500000000000",NULL
"Full-time","103","166000.000000000000",NULL
"Full-time","1","165880.000000000000",NULL
"Full-time","1","165735.031250000000",NULL
"Full-time","1","165508.000000000000",NULL
"Full-time","6","165500.000000000000",NULL
"Full-time","3","165450.000000000000",NULL
"Full-time","2","165318.000000000000",NULL
"Full-time","193","165000.000000000000",NULL
"Full-time and Contractor","1","165000.000000000000",NULL
"Contractor","3","165000.000000000000",NULL
"Full-time","1","164791.500000000000",NULL
"Full-time","2","164746.000000000000",NULL
"Full-time","1","164715.000000000000",NULL
"Part-time","1","164500.000000000000",NULL
"Full-time","11","164500.000000000000",NULL
"Full-time","2","164497.500000000000",NULL
"Full-time","1","164385.000000000000",NULL
"Full-time","1","164091.000000000000",NULL
"Full-time","1","164055.000000000000",NULL
"Full-time","21","164000.000000000000",NULL
"Full-time","1","163963.078125000000",NULL
"Full-time","2","163875.000000000000",NULL
"Full-time","18","163782.000000000000",NULL
"Full-time","1","163758.000000000000",NULL
"Full-time","1","163609.000000000000",NULL
"Full-time","3","163525.000000000000",NULL
"Full-time","6","163500.000000000000",NULL
"Full-time","11","163000.000000000000",NULL
"Full-time and Part-time","1","162623.500000000000",NULL
"Full-time","5","162623.500000000000",NULL
"Full-time","1","162500.500000000000",NULL
"Contractor","1","162500.000000000000",NULL
"Full-time","59","162500.000000000000",NULL
"Full-time","2","162355.000000000000",NULL
"Full-time","2","162080.000000000000",NULL
"Full-time","1","162060.000000000000",NULL
"Full-time","6","162000.000000000000",NULL
"Full-time and Part-time","1","162000.000000000000",NULL
"Full-time","1","161975.000000000000",NULL
"Full-time","4","161955.500000000000",NULL
"Full-time","1","161952.000000000000",NULL
"Full-time","1","161875.000000000000",NULL
"Full-time","1","161840.000000000000",NULL
"Full-time","1","161732.000000000000",NULL
"Full-time","26","161500.000000000000",NULL
"Full-time","1","161335.000000000000",NULL
"Full-time","2","161250.000000000000",NULL
"Full-time","2","161160.000000000000",NULL
"Full-time","2","161044.000000000000",NULL
"Full-time","6","161000.000000000000",NULL
"Full-time","1","160845.500000000000",NULL
"Full-time","1","160831.000000000000",NULL
"Full-time","1","160542.500000000000",NULL
"Full-time","1","160515.000000000000",NULL
"Full-time","3","160500.000000000000",NULL
"Full-time","1","160370.000000000000",NULL
"Full-time","1","160281.000000000000",NULL
"Full-time","3","160136.500000000000",NULL
"Full-time","1","160060.234375000000",NULL
"Full-time and Part-time","1","160011.000000000000",NULL
"Full-time","181","160000.000000000000",NULL
"Full-time and Temp work","1","160000.000000000000",NULL
"Contractor","4","160000.000000000000",NULL
"Full-time","1","159770.000000000000",NULL
"Full-time","1","159640.000000000000",NULL
"Full-time","4","159500.000000000000",NULL
"Full-time","3","159331.000000000000",NULL
"Full-time","4","159264.000000000000",NULL
"Full-time","2","159133.000000000000",NULL
"Full-time","5","159000.000000000000",NULL
"Full-time","1","158950.000000000000",NULL
"Full-time","1","158938.000000000000",NULL
"Full-time","3","158857.500000000000",NULL
"Full-time","1","158697.000000000000",NULL
"Full-time","1","158559.000000000000",NULL
"Full-time","2","158525.000000000000",NULL
"Full-time and Contractor","1","158500.000000000000",NULL
"Full-time","12","158500.000000000000",NULL
"Full-time","1","158445.000000000000",NULL
"Full-time","1","158175.000000000000",NULL
"Full-time","1","158135.000000000000",NULL
"Full-time","1","158025.000000000000",NULL
"Full-time","6","158000.000000000000",NULL
"Full-time","4","157934.000000000000",NULL
"Internship","1","157650.000000000000",NULL
"Contractor","6","157500.000000000000",NULL
"Part-time","1","157500.000000000000",NULL
"Full-time and Temp work","7","157500.000000000000",NULL
"Full-time","429","157500.000000000000",NULL
NULL,"1","157500.000000000000",NULL
"Full-time","1","157380.000000000000",NULL
"Full-time","1","157375.000000000000",NULL
"Full-time","1","157370.000000000000",NULL
"Full-time","16","157000.000000000000",NULL
"Full-time","1","156853.000000000000",NULL
"Full-time","1","156650.000000000000",NULL
"Full-time","15","156596.000000000000",NULL
"Contractor","1","156500.000000000000",NULL
"Full-time","29","156500.000000000000",NULL
"Full-time","1","156246.000000000000",NULL
"Contractor","1","156107.000000000000",NULL
"Full-time and Contractor","1","156000.000000000000",NULL
"Full-time and Part-time","1","156000.000000000000",NULL
"Full-time","25","156000.000000000000",NULL
"Full-time","1","155979.234375000000",NULL
"Full-time","4","155904.500000000000",NULL
"Full-time","1","155526.500000000000",NULL
"Full-time","23","155500.000000000000",NULL
"Full-time and Part-time","1","155500.000000000000",NULL
"Full-time","1","155485.500000000000",NULL
"Full-time","1","155183.500000000000",NULL
"Full-time and Part-time","1","155125.000000000000",NULL
"Contractor","1","155000.000000000000",NULL
"Full-time and Contractor","1","155000.000000000000",NULL
"Full-time","166","155000.000000000000",NULL
"Full-time","1","154842.000000000000",NULL
"Full-time","1","154750.000000000000",NULL
"Full-time","4","154500.000000000000",NULL
"Full-time","1","154223.500000000000",NULL
"Full-time","31","154000.000000000000",NULL
